Date,SP500
729314,704.41
729315,706.99
729316,710.82
729319,709.85
729320,706.57
729321,707.27
729322,702.29
729323,700.92
729326,697.26
729327,701.5
729328,700.9
729329,705.27
729330,703.77
729333,706.73
729334,714.14
729335,724.59
729336,727.65
729337,730.82
729340,731.87
729341,729.56
729342,731.13
729343,735.88
729344,737.62
729347,737.02
729348,742.16
729349,743.95
729350,742.75
729351,748.73
729354,757.03
729355,755.96
729356,755
729357,756.01
729358,757.02
729361,756.56
729362,748.28
729363,745.1
729364,744.38
729365,739.6
729368,749.76
729369,747.54
729370,740.73
729371,729.3
729372,728.64
729375,720.98
729376,726.04
729377,731.54
729378,745.76
729379,748.87
729382,746.92
729383,751.03
729384,753.425
729385,755.82
729386,756.79
729389,753.85
729390,740.74
729391,738.875
729392,737.01
729393,748.03
729396,747.65
729397,753.23
729398,748.41
729399,754.85
729400,759.5
729403,759.51
729404,768.86
729405,767.2
729406,769.75
729407,776.17
729410,776.7
729411,782.72
729412,786.23
729413,777.56
729414,770.52
729417,765.02
729418,765.02
729419,772.5
729420,784.17
729421,786.16
729424,786.73
729425,789.26
729426,778.28
729427,780.15
729428,789.56
729431,785.43
729432,789.59
729433,802.77
729434,811.82
729435,808.48
729438,812.385
729439,816.29
729440,812.49
729441,802.8
729442,801.77
729445,810.28
729446,812.03
729447,805.68
729448,795.07
729449,790.82
729452,795.31
729453,790.95
729454,801.99
729455,798.56
729456,804.97
729459,813.65
729460,811.34
729461,804.26
729462,789.56
729463,793.17
729466,795.71
729467,789.66
729468,785.77
729469,782.65
729470,784.1
729473,790.89
729474,789.07
729475,790.5
729476,773.88
729477,765.5
729480,757.12
729481,759.64
729482,750.11
729483,750.32
729484,757.9
729487,762.13
729488,766.12
729489,760.6
729490,758.34
729491,737.65
729494,743.73
729495,754.72
729496,763.53
729497,761.77
729498,766.34
729501,760.37
729502,774.61
729503,773.64
729504,771.18
729505,765.37
729508,772.96
729509,794.05
729510,801.34
729511,798.53
729512,812.97
729515,830.29
729516,827.76
729517,815.62
729518,820.26
729519,824.78
729522,837.66
729523,833.13
